longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity
-119.7,34.43,35,1402,369,654,385,2.6205,<1H OCEAN
-117.15,34.22,10,1039,174,317,109,7.2371,INLAND
-118.37,33.87,18,2516,485,1128,433,5.0114,<1H OCEAN
-118.01,33.85,29,3061,612,2396,640,4.6326,<1H OCEAN
-122.32,37.94,47,1911,283,697,275,6.2712,NEAR BAY
-117.96,33.94,34,2228,399,1159,378,4.8906,<1H OCEAN
-117.96,34.14,33,1994,405,993,403,3.766,INLAND
-117.55,34,17,3583,700,1587,719,2.6979,INLAND
-122.28,37.86,41,2214,550,1213,568,2.2845,NEAR BAY
-117.43,34.07,18,2453,537,1503,500,2.3768,INLAND
-117.21,33.34,10,5294,817,2312,810,5.4563,<1H OCEAN
-120.68,37.47,33,1028,226,658,197,2.3043,INLAND
-122.83,38.96,15,1318,296,567,276,1.8692,INLAND
-122.22,37.37,26,440,202,322,218,5.1831,NEAR OCEAN
-116.87,32.75,15,2053,321,993,309,5.5164,<1H OCEAN
-118.39,33.79,30,4402,563,1582,551,10.898,NEAR OCEAN
-117.13,32.74,46,3355,768,1457,708,2.6604,NEAR OCEAN
-122.45,37.74,38,5688,930,2263,908,6.203,NEAR BAY
-122.47,38.29,14,3732,846,1277,775,2.5658,NEAR BAY
-122.54,37.95,38,2310,400,971,386,5.697,NEAR BAY
-123.1,38.79,20,3109,712,1643,638,2.8344,<1H OCEAN
-117.07,32.56,9,3648,895,3293,840,3.0992,NEAR OCEAN
-118.43,34.08,46,778,90,238,93,15.0001,<1H OCEAN
-122.05,36.97,16,3363,611,1603,556,4.2542,NEAR OCEAN
-122.25,37.49,43,2607,477,1225,461,4.224,NEAR OCEAN
-117.87,34.14,30,2495,586,1139,559,2.9375,INLAND
-118.2,34.05,42,1703,586,2490,581,2.02,<1H OCEAN
-121.32,37.94,36,40,10,64,14,2.625,INLAND
-120.96,38.66,11,2339,436,1062,380,3.9036,INLAND
-120.43,34.96,24,2739,414,1171,413,4.8155,<1H OCEAN
-122.28,37.9,52,2003,250,658,244,10.0825,NEAR BAY
-122,37.08,17,4154,739,2149,693,5.5919,NEAR OCEAN
-118.34,33.87,34,1069,217,601,212,4.6406,<1H OCEAN
-118.52,34.21,36,1328,287,823,273,4.5648,<1H OCEAN
-118.22,34.09,42,1706,488,1941,447,2.5213,<1H OCEAN
-118.27,34.1,51,3149,519,1082,510,6.4459,<1H OCEAN
-117.58,34.02,4,5998,1092,3182,1042,5.2692,INLAND
-118.22,34.08,31,394,117,573,131,1.8173,<1H OCEAN
-121.78,36.93,21,2794,662,2236,565,2.4053,<1H OCEAN
-117.36,33.18,39,1546,291,833,308,2.8893,NEAR OCEAN
-119.01,35.36,24,1941,484,1277,435,1.056,INLAND
-117.81,34.11,21,3481,808,1866,746,3.6201,INLAND
-118.1,34.02,33,1143,172,508,174,4.9107,<1H OCEAN
-117.03,32.96,16,3424,698,1940,645,4.121,<1H OCEAN
-122.23,39.75,16,2026,396,1031,382,1.9375,INLAND
-121.96,37.1,20,922,155,361,135,6.3617,<1H OCEAN
-121.06,39.04,15,1999,287,585,246,5.5161,INLAND
-118.1,34.09,46,2822,525,1434,520,3.8906,<1H OCEAN
-118.32,33.95,44,2131,360,1040,330,5.0912,<1H OCEAN
-122.21,37.44,35,1140,193,486,199,4.6908,NEAR OCEAN
-118.19,34.1,39,2054,423,1205,403,4.239,<1H OCEAN
-122.38,40.09,16,2077,388,1155,389,3.1361,INLAND
-117.3,33.06,31,2128,520,1049,485,4.027,NEAR OCEAN
-122.13,37.71,44,1421,298,609,270,3.5781,NEAR BAY
-118.29,33.98,44,2261,555,1348,455,1.9125,<1H OCEAN
-121.53,39.52,30,1030,161,448,159,2.4821,INLAND
-120.47,34.65,16,2549,428,1486,432,4.2875,NEAR OCEAN
-118.3,34,52,1718,354,1026,312,2,<1H OCEAN
-118.22,33.8,33,1984,477,1764,440,3.875,NEAR OCEAN
-118.27,33.97,39,2569,688,2601,630,2.0754,<1H OCEAN
-118.34,34.06,52,1311,310,707,290,3.4812,<1H OCEAN
-119.21,34.18,13,6103,1319,2986,1212,3.9718,NEAR OCEAN
-117.83,33.81,24,3550,895,2828,834,2.8403,<1H OCEAN
-118.85,34.18,11,5873,1455,3089,1365,3.5504,<1H OCEAN
-118.37,36.19,10,443,111,48,21,3.125,INLAND
-121.85,37.39,15,8748,1547,4784,1524,5.8322,<1H OCEAN
-118.37,33.85,25,5622,998,2537,1009,5.785,<1H OCEAN
-118.96,35.37,32,1025,259,874,236,1.9612,INLAND
-120.64,35.65,9,3466,673,2356,619,2.9926,<1H OCEAN
-118.41,34.19,42,779,145,450,148,3.9792,<1H OCEAN
-122.53,37.95,22,7446,1979,2980,1888,3.5838,NEAR BAY
-117.33,34.15,28,1473,333,1196,312,1.6993,INLAND
-117.23,33.57,6,13724,2269,5860,1986,3.9617,<1H OCEAN
-120.44,37.28,12,2855,598,1658,586,2.3929,INLAND
-117.2,33.7,23,6323,1196,1984,1124,2.3276,<1H OCEAN
-121.34,38.64,12,2772,578,1335,565,3.8068,INLAND
-117.28,34.12,36,2991,822,2378,751,1.3571,INLAND
-119.48,36.5,32,3451,625,1968,574,2.9554,INLAND
-122.04,37.04,17,4977,994,1987,947,3.8854,NEAR OCEAN
-118.45,34.03,39,1657,402,931,363,3.7813,<1H OCEAN
-117.47,33.92,18,3869,773,2500,726,3.6583,INLAND
-121.94,37.75,16,5121,735,2464,761,6.6204,<1H OCEAN
-117.28,34.51,10,4676,884,2845,812,3.0181,INLAND
-120.95,35.44,30,6346,1410,1769,887,2.6864,NEAR OCEAN
-117.9,33.97,23,7353,1255,4014,1124,5.4155,<1H OCEAN
-120.77,38.38,15,4221,816,1737,743,2.3125,INLAND
-116.93,32.8,19,1867,538,1219,468,2.0685,<1H OCEAN
-118.13,33.81,34,1903,343,928,349,5.395,<1H OCEAN
-117.4,33.95,46,2189,423,866,389,3.1384,INLAND
-122.07,37.96,34,1692,290,836,289,5.0172,NEAR BAY
-123.71,39.88,42,1518,383,656,303,1.4952,NEAR OCEAN
-122.72,38.58,4,7042,1100,2936,1043,5.0555,<1H OCEAN
-117.77,33.72,9,2153,316,954,324,7.8139,<1H OCEAN
-117.93,34.07,34,1409,305,819,273,3.3977,<1H OCEAN
-118.41,34.07,52,1202,142,408,138,15.0001,<1H OCEAN
-120.07,36.97,28,1563,403,1564,408,1.5662,INLAND
-119.27,36.05,29,1016,174,481,140,2.2917,INLAND
-120.82,37.05,15,1385,288,775,255,1.933,INLAND
-121.43,38.54,42,3321,688,1346,658,2.4618,INLAND
-120.44,34.96,30,1685,315,1290,368,3.4722,<1H OCEAN
-120.35,37.95,13,2104,407,960,401,2.4,INLAND
-118.17,33.95,23,1991,584,1380,535,1.9107,<1H OCEAN
-121.57,39.5,31,2023,469,1073,436,1.5714,INLAND
-117.82,33.88,18,1982,300,1027,324,7.0526,<1H OCEAN
-121.9,37.44,4,1646,408,853,410,5.0821,<1H OCEAN
-121.45,38.54,38,1865,384,1052,354,1.7891,INLAND
-119.81,36.83,19,6789,1200,2325,1109,4.049,INLAND
-118.36,33.8,34,2629,369,966,375,10.1241,NEAR OCEAN
-117.68,33.59,8,2327,263,899,236,14.9009,<1H OCEAN
-118.04,33.88,17,4807,838,3059,853,5.7619,<1H OCEAN
-118.43,34.01,41,1527,279,746,285,6.4232,<1H OCEAN
-122.71,38.5,15,5645,830,2324,769,6.6104,<1H OCEAN
-121.83,36.6,30,2748,502,1491,535,4.3472,<1H OCEAN
-120.82,35.31,16,3924,699,1325,638,2.5172,NEAR OCEAN
-120.06,36.95,24,646,134,454,149,2.125,INLAND
-122.14,37.68,31,3184,716,1561,628,2.7955,NEAR BAY
-116.46,33.78,25,1137,414,604,240,1.3801,INLAND
-121.09,38.19,23,762,140,358,141,2.4545,INLAND
-121.32,38.57,15,3369,499,1733,470,5.31,INLAND
-120.99,37.66,30,1718,395,914,400,1.933,INLAND
-122.22,37.79,37,2343,574,1608,523,2.1494,NEAR BAY
-122.47,37.78,52,2169,522,1220,505,3.1989,NEAR BAY
-117.91,33.61,40,2790,531,952,424,4.8,<1H OCEAN
-121.53,39.06,20,561,109,308,114,3.3021,INLAND
-117.04,32.83,8,2205,348,777,341,6.0266,<1H OCEAN
-118.13,34.11,52,2568,345,1102,345,9.1373,<1H OCEAN
-122.32,38.06,4,7999,1611,3596,1396,5.0969,NEAR BAY
-121.73,37.68,17,20354,3493,8768,3293,5.4496,INLAND
-118.98,35.4,36,1864,331,1052,325,3.4205,INLAND
-121.9,37.25,28,2714,502,1389,490,5.7385,<1H OCEAN
-121.3,38.69,13,2135,429,779,432,3.6995,INLAND
-115.64,32.75,19,377,69,198,55,1.625,INLAND
-117.89,33.76,34,1050,210,723,201,4.8,<1H OCEAN
-118.36,33.92,46,1231,231,793,256,4.1023,<1H OCEAN
-117.06,32.58,11,2879,679,2098,673,3.5125,NEAR OCEAN
-115.49,32.67,25,2322,573,2185,602,1.375,INLAND
-117.31,34.09,34,1336,345,1009,311,1.608,INLAND
-121.03,39.21,28,2843,535,1310,525,3.2337,INLAND
-117.05,32.72,35,1777,369,1158,353,3.4107,NEAR OCEAN
-117.95,33.92,18,2825,660,1590,643,3.6106,<1H OCEAN
-119.01,35.31,19,7092,1517,4101,1436,2.1006,INLAND
-119.17,34.27,18,8010,1539,3982,1483,4.0905,NEAR OCEAN
-118.07,34.14,42,3200,685,1668,628,3.375,INLAND
-122.23,38.1,46,4143,895,2240,847,2.4201,NEAR BAY
-117.75,34.06,52,62,9,44,16,0.4999,INLAND
-118.27,33.81,42,865,208,811,218,3.8621,<1H OCEAN
-121.32,38,21,1795,482,1114,472,2.0091,INLAND
-118.99,36.06,19,2153,458,1317,386,1.7564,INLAND
-122.37,40.54,28,2213,390,1096,378,3.6923,INLAND
-120.39,37.98,52,1056,274,584,255,2.1513,INLAND
-118.33,34.11,48,1601,464,784,461,3.0642,<1H OCEAN
-118.08,33.89,37,1152,259,981,225,3.2857,<1H OCEAN
-117.25,33.36,6,3725,960,2833,915,2.3214,<1H OCEAN
-119.15,36.29,18,1435,,657,254,2.4281,INLAND
-117.63,33.94,36,447,95,2886,85,4.2578,INLAND
-118.55,34.19,18,5862,,3161,1280,3.1106,<1H OCEAN
-117.89,33.71,16,1591,225,926,239,6.2452,<1H OCEAN
-117.69,33.66,5,4246,689,1933,722,6.9501,<1H OCEAN
-118.35,33.88,25,1459,362,1150,354,3.35,<1H OCEAN
-118.09,34.16,45,2199,358,942,353,5.0393,INLAND
-121.05,39.11,7,2767,423,1143,382,3.6333,INLAND
-118.21,34.1,40,1684,316,795,330,5.2723,<1H OCEAN
-119.04,36.07,17,2623,659,1912,618,1.5893,INLAND
-117.3,34.15,33,1607,282,608,260,4.3438,INLAND
-117.75,34.06,44,477,135,502,117,2.0156,INLAND
-114.61,33.62,16,1187,261,1115,242,2.1759,INLAND
-117.61,34.13,21,8416,1386,4308,1341,4.4611,INLAND
-118.11,34.05,23,3436,565,1729,529,5.9941,<1H OCEAN
-118.95,35.26,24,1341,214,667,184,4,INLAND
-118.35,33.9,25,3309,902,2299,837,3.0417,<1H OCEAN
-122.89,38.93,20,1214,247,504,223,2.7188,<1H OCEAN
-121.89,36.6,40,626,164,337,150,2.7917,<1H OCEAN
-118.31,34.26,34,1797,363,948,363,4.1339,<1H OCEAN
-122.01,37.25,31,1574,193,551,191,10.2311,<1H OCEAN
-118.37,34.04,43,888,170,514,161,3.1827,<1H OCEAN
-117.19,32.76,52,1294,175,434,180,5.7914,NEAR OCEAN
-119.71,36.8,17,2056,366,1259,367,3.9338,INLAND
-117.28,34.68,28,1932,421,1156,404,1.8958,INLAND
-120.84,35.32,15,2419,538,1279,522,3.4762,NEAR OCEAN
-118.13,34.02,43,396,91,261,73,2.9044,<1H OCEAN
-117.02,33.6,7,1972,352,964,317,3.244,INLAND
-116.97,32.76,33,3071,466,1348,513,6.1768,<1H OCEAN
-117.71,33.61,26,3046,726,888,663,2.6848,<1H OCEAN
-121.58,39.79,19,2636,523,1184,465,2.7863,INLAND
-118.24,34.15,19,4852,1465,3171,1332,2.5924,<1H OCEAN
-122.68,38.44,29,2796,588,1346,562,2.9107,<1H OCEAN
-118.14,33.84,43,2107,439,876,429,3.2024,<1H OCEAN
-117.88,34.1,32,3357,621,1696,604,4.2685,<1H OCEAN
-117.67,33.44,25,2994,519,903,410,6.6852,<1H OCEAN
-120.47,34.64,16,1912,406,1009,417,3.4063,NEAR OCEAN
-122.22,37.47,23,7740,1943,4124,1743,3.3268,NEAR OCEAN
-122.25,37.86,52,1709,318,719,295,5.0463,NEAR BAY
-118.11,34.06,30,1547,436,1700,410,2.5488,<1H OCEAN
-122.2,39.52,39,2551,482,1181,437,2.0625,INLAND
-119.9,36.58,20,1935,363,1319,359,2.4814,INLAND
-118.26,33.79,42,1162,264,1044,241,3.5488,<1H OCEAN
-122.51,37.53,17,1574,262,672,241,7.2929,NEAR OCEAN
-118.37,33.93,46,442,88,255,94,4.4474,<1H OCEAN
-118.31,33.99,48,2235,433,1363,433,1.6559,<1H OCEAN
-117.94,33.65,15,2016,443,1015,419,5.2732,<1H OCEAN
-118.46,34,44,941,230,493,206,3.6458,<1H OCEAN
-122.33,37.95,46,1543,339,777,322,4.0927,NEAR BAY
-117.67,34.05,6,2833,628,1717,589,3.2062,INLAND
-118.05,33.94,34,495,120,527,130,1.9453,<1H OCEAN
-118.27,33.89,32,1969,397,1349,370,4.4659,<1H OCEAN
-117.16,33.57,2,20391,3245,7132,2716,3.9443,<1H OCEAN
-118.46,34.03,27,1965,631,1042,596,2.75,<1H OCEAN
-122.44,37.77,52,5604,1268,2023,1196,4.4085,NEAR BAY
-122.03,37.6,24,2077,383,1488,389,4.5721,NEAR BAY
-117.96,34.71,32,3511,646,1733,510,3.46,INLAND
-117.83,34.01,16,9446,1650,4911,1534,5.0111,<1H OCEAN
-118.62,34.2,29,2421,402,1120,388,5.0309,<1H OCEAN
-121.45,38.62,37,1534,315,1147,322,2.5643,INLAND
-122.48,37.71,39,3615,632,1571,615,5.1149,NEAR OCEAN
-123.22,39.15,45,1348,265,639,270,3.3667,<1H OCEAN
-122.11,37.39,36,1660,261,655,249,6.3967,NEAR BAY
-117.71,33.47,17,2681,454,830,410,5.5507,<1H OCEAN
-118.07,33.87,18,3405,556,1945,509,5.7652,<1H OCEAN
-122.11,37.66,29,2544,643,2332,603,3.2091,NEAR BAY
-117.93,34.04,30,1336,239,905,253,4.8854,<1H OCEAN
-122.03,37.39,34,2600,650,1994,650,4.0223,<1H OCEAN
-118.35,33.9,31,1547,,956,287,3.4698,<1H OCEAN
-117.13,32.72,9,2436,720,1780,653,1.8299,NEAR OCEAN
-121.66,36.82,17,3921,654,1895,641,5.0092,<1H OCEAN
-118.13,34.05,35,3229,616,1879,595,3.9531,<1H OCEAN
-118.28,34.05,41,1788,774,2931,702,1.4413,<1H OCEAN
-118.17,34.1,25,4444,647,1922,652,8.058,<1H OCEAN
-121.33,37.97,36,1953,492,999,371,2.0043,INLAND
-117.23,32.74,16,1953,404,798,385,4.8167,NEAR OCEAN
-121.29,38.6,29,1276,225,600,223,4.0938,INLAND
-117.95,34.04,36,1044,200,982,205,4.7679,<1H OCEAN
-121.83,36.61,26,3723,789,2563,747,3.4531,<1H OCEAN
-119.21,34.26,26,2406,411,1313,391,4.9079,NEAR OCEAN
-118.29,33.91,28,1501,446,1028,418,2.3043,<1H OCEAN
-118.74,34.26,27,3467,545,1798,493,4.8717,<1H OCEAN
-118.2,33.96,44,2144,477,1760,452,2.3221,<1H OCEAN
-117.93,33.65,29,1253,375,1198,362,3.5179,<1H OCEAN
-124.09,40.88,31,1982,495,1052,467,1.5326,NEAR OCEAN
-121.39,38.56,19,8507,1470,3517,1453,4.3644,INLAND
-117.33,34.13,30,2335,363,1214,311,2.2449,INLAND
-118.75,34.33,27,534,85,243,77,8.2787,<1H OCEAN
-118.1,33.93,36,1124,217,707,234,4.375,<1H OCEAN
-118.49,34.25,33,2088,383,960,362,4.3333,<1H OCEAN
-117.69,34.06,29,873,226,649,198,2.7986,INLAND
-117.06,32.57,18,1384,311,1429,287,1.3362,NEAR OCEAN
-118.46,34.29,24,3668,890,3151,810,3.0526,<1H OCEAN
-121.74,38.55,33,6861,1820,3717,1767,1.7311,INLAND
-116.89,33.73,15,2094,316,937,277,5.3623,INLAND
-121.89,37.25,26,1741,323,1007,339,4.7069,<1H OCEAN
-122.15,37.72,31,1616,372,739,379,2.9097,NEAR BAY
-119.29,34.26,32,3295,764,1344,600,3.6007,NEAR OCEAN
-118.19,33.89,38,4018,986,3702,927,2.9293,<1H OCEAN
-117.66,34.06,24,4043,952,2174,859,2.2244,INLAND
-118.06,33.8,20,1379,333,937,304,3.6217,<1H OCEAN
-118,33.95,35,1431,210,505,213,6.8109,<1H OCEAN
-117.95,33.84,18,3418,815,1961,773,3.65,<1H OCEAN
-117.88,33.9,21,3180,434,1413,391,6.5945,<1H OCEAN
-118.12,34.11,48,2124,319,785,319,5.2131,<1H OCEAN
-120.99,37.69,25,2773,384,1060,381,6.4788,INLAND
-118.37,33.91,41,1869,427,1334,435,3.9355,<1H OCEAN
-121.74,36.47,28,1973,343,970,349,4.25,<1H OCEAN
-122.19,37.48,35,7067,1646,5380,1597,4.1776,NEAR BAY
-116.95,32.78,20,3425,448,1489,443,6.2552,<1H OCEAN
-117.8,33.76,27,2655,345,1017,335,6.9014,<1H OCEAN
-115.54,32.79,23,1712,403,1370,377,1.275,INLAND
-118.43,34.17,35,2922,507,1130,485,5.451,<1H OCEAN
-120.69,35.49,16,2666,450,1203,429,4.1375,<1H OCEAN
-118.32,33.94,37,2740,504,1468,479,4.5368,<1H OCEAN
-121.18,37.96,35,411,74,193,59,2.5625,INLAND
-121.33,37.96,42,1619,340,906,339,2.5488,INLAND
-119.95,36.96,18,1996,379,1327,356,2.6087,INLAND
-118.47,34,42,1271,301,574,312,3.1304,<1H OCEAN
-124.09,40.88,26,2683,555,1353,526,2.4321,NEAR OCEAN
-117.19,33.64,12,1481,265,757,243,3.235,<1H OCEAN
-120.64,40.41,50,1741,424,987,383,1.5066,INLAND
-119.72,34.42,52,1759,387,980,402,4.0125,NEAR OCEAN
-115.49,32.69,17,1960,389,1691,356,1.899,INLAND
-118.1,34.11,49,3367,523,1317,495,6.706,<1H OCEAN
-122.82,38.39,32,1437,257,752,245,4.7422,<1H OCEAN
-118.34,34.12,41,3257,679,1237,638,4.2415,<1H OCEAN
-118.29,34,44,1753,387,1165,380,2.1354,<1H OCEAN
-121.44,38.73,25,1287,224,727,236,4.7396,INLAND
-117.22,32.83,31,3958,727,1924,728,5.4605,NEAR OCEAN
-122.63,38.26,7,7808,1390,3551,1392,4.6069,<1H OCEAN
-118.17,34.18,38,1280,231,828,237,4.375,<1H OCEAN
-124.17,40.79,43,2285,479,1169,482,1.9688,NEAR OCEAN
-118.37,34.15,29,2630,617,1071,573,3.3669,<1H OCEAN
-118.93,34.82,24,806,168,323,136,3.5,INLAND
-122.24,37.47,35,2283,491,1148,436,4.5556,NEAR OCEAN
-122.26,37.85,50,1120,283,697,264,2.125,NEAR BAY
-118.04,33.99,36,3531,754,1613,697,3.2359,<1H OCEAN
-117.92,33.92,19,2181,400,1272,337,5.1952,<1H OCEAN
-116.51,33.89,21,1284,306,537,233,1.95,INLAND
-117.94,33.84,25,4016,831,2166,774,3.1884,<1H OCEAN
-122.07,38.24,15,7937,1635,4390,1567,3.5464,INLAND
-118.25,33.93,42,657,147,526,132,2.5,<1H OCEAN
-118.86,34.22,26,1932,280,886,289,5.0855,<1H OCEAN
-121.47,38.72,26,1708,299,911,290,4.0227,INLAND
-118.2,33.92,36,414,104,477,130,3.6719,<1H OCEAN
-122.13,37.7,21,4124,1054,2162,998,2.6321,NEAR BAY
-122.01,37.27,28,3825,473,1415,480,10.675,<1H OCEAN
-124.08,40.94,18,1550,345,941,335,2.3147,NEAR OCEAN
-118.31,34.26,36,1882,453,1005,409,3.8,<1H OCEAN
-117.29,33.2,16,2150,461,1428,407,2.4754,NEAR OCEAN
-117.72,33.54,13,4866,812,1909,733,4.9821,<1H OCEAN
-118.46,34.25,33,2202,433,1135,407,4.2143,<1H OCEAN
-120.73,39.63,17,1791,356,432,190,3.8826,INLAND
-122.54,38.36,40,2725,531,1167,458,3.7969,<1H OCEAN
-122.91,39.17,44,202,42,142,39,4.35,INLAND
-117.27,34.16,32,2894,427,1151,446,6.2236,INLAND
-118.23,33.93,36,501,123,487,118,1.3,<1H OCEAN
-117.34,34.13,29,331,85,341,107,0.7069,INLAND
-118.13,33.79,29,2937,524,1132,528,4.6133,NEAR OCEAN
-120.47,34.63,23,2441,463,1392,434,3.7917,NEAR OCEAN
-119.32,36.2,25,1427,246,772,221,2.2262,INLAND
-118.4,34.03,24,1101,318,491,287,3.2222,<1H OCEAN
-122.99,39.02,14,1582,301,851,273,3.45,<1H OCEAN
-117.99,33.72,14,2127,537,1338,475,3.628,<1H OCEAN
-117.13,32.76,29,2568,682,1191,642,2.1094,NEAR OCEAN
-117.23,34.51,9,5756,807,2158,758,5.5875,INLAND
-122.44,37.75,52,2082,425,801,411,4.2708,NEAR BAY
-121.02,37.68,28,2875,560,1608,558,3.5489,INLAND
-117.97,33.71,26,2553,405,1337,411,5.3737,<1H OCEAN
-119.3,34.42,18,5591,1042,2860,1026,3.5822,NEAR OCEAN
-117.87,33.84,10,3381,729,1584,636,5.3812,<1H OCEAN
-122.4,37.71,47,1649,328,1183,356,3.3625,NEAR BAY
-120.98,37.66,33,1959,342,984,356,4.5208,INLAND
-117.61,34.34,18,5210,912,1301,464,4.8623,INLAND
-121.81,37.99,18,2807,445,1315,437,4.8194,INLAND
-122.67,38.44,29,2551,448,1165,456,4.3587,<1H OCEAN
-118.3,34.07,36,2657,738,2274,723,3.425,<1H OCEAN
-119.71,36.81,19,2282,550,1034,500,1.6618,INLAND
-121.88,37.34,44,1267,353,1018,327,2.4196,<1H OCEAN
-116.93,32.81,18,2447,466,1573,472,2.6429,<1H OCEAN
-121.01,37.33,17,1926,410,1054,321,1.6214,INLAND
-123.2,39.13,26,1474,417,1065,401,1.375,<1H OCEAN
-116.87,32.72,13,3268,491,1431,503,5.7652,<1H OCEAN
-122.48,37.51,22,1564,278,761,270,4.7578,NEAR OCEAN
-118.44,34.25,35,1583,324,1481,351,3.7,<1H OCEAN
-120.33,34.87,24,2590,404,1093,338,3.9375,<1H OCEAN
-118.34,33.91,8,3937,1404,2691,1142,2.4741,<1H OCEAN
-118.68,34.08,18,102,17,55,21,3.9934,NEAR OCEAN
-118.46,34.05,25,4077,1151,1719,1017,3.7721,<1H OCEAN
-116.95,33.76,10,6890,1702,3141,1451,1.7079,INLAND
-121.22,37.79,36,1052,221,712,212,1.7228,INLAND
-118.15,34.04,44,647,142,457,143,3.6875,<1H OCEAN
-117.7,33.6,26,2283,506,634,469,2.3774,<1H OCEAN
-118.1,34.16,46,2863,513,1412,498,5.3272,INLAND
-121.48,38.61,18,1511,315,1062,304,2.3438,INLAND
-121.7,37.93,10,3258,612,1779,558,4.6587,INLAND
-122.28,37.82,52,1387,341,1074,304,1.2171,NEAR BAY
-121.8,38,34,2738,475,1316,459,3.5368,INLAND
-121.92,37.25,36,3874,656,1826,639,4.9662,<1H OCEAN
-122.41,37.79,52,5783,2747,4518,2538,1.724,NEAR BAY
-121.58,37.03,16,3120,685,2383,681,3.5551,INLAND
-118.35,34.07,45,7803,2154,3359,2041,3.3594,<1H OCEAN
-122.53,37.5,19,4768,807,2199,805,6.1896,NEAR OCEAN
-117.64,34.09,34,2839,659,1822,631,3.05,INLAND
-118.3,34.06,33,2437,1283,3906,1084,2.0332,<1H OCEAN
-117.09,32.71,29,2238,523,2061,504,2.5559,NEAR OCEAN
-117.9,33.63,28,2370,352,832,347,7.1148,<1H OCEAN
-122.45,37.72,52,1729,319,890,300,4.3036,NEAR BAY
-118.52,34.21,34,1663,299,762,282,5.1265,<1H OCEAN
-121.02,37.62,30,1721,399,1878,382,2.5363,INLAND
-118.29,34.03,27,1084,287,1085,279,2.135,<1H OCEAN
-121.16,41.78,42,2918,576,1182,440,2.1434,INLAND
-118.13,33.93,19,1793,447,1222,452,2.6862,<1H OCEAN
-117.92,33.94,27,4566,620,2045,664,5.583,<1H OCEAN
-121.03,37.68,20,3204,625,2016,605,2.6567,INLAND
-118.42,34.01,42,1700,438,997,436,2.9213,<1H OCEAN
-117.27,33.06,7,3686,733,1612,672,3.197,NEAR OCEAN
-121.64,36.68,16,6568,1603,6012,1565,2.3463,<1H OCEAN
-119.65,36.37,4,3725,783,1478,600,3.5486,INLAND
-117.31,34.51,18,2704,698,1611,597,2.0243,INLAND
-117.99,33.66,14,3155,653,951,575,3.0625,<1H OCEAN
-118.09,33.92,31,1983,419,1157,390,3.5455,<1H OCEAN
-121.02,36.24,12,2198,507,1971,502,2.6801,<1H OCEAN
-118.07,33.9,42,1007,224,776,228,3.8672,<1H OCEAN
-122.27,37.84,52,2436,541,1015,478,1.725,NEAR BAY
