longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value
-118.1,34.02,33,1143,172.0,508,174,4.9107,<1H OCEAN,201255.0
-117.03,32.96,16,3424,698.0,1940,645,4.121,<1H OCEAN,173782.0
-122.23,39.75,16,2026,396.0,1031,382,1.9375,INLAND,84754.0
-121.96,37.1,20,922,155.0,361,135,6.3617,<1H OCEAN,314996.0
-121.06,39.04,15,1999,287.0,585,246,5.5161,INLAND,203743.0
-118.1,34.09,46,2822,525.0,1434,520,3.8906,<1H OCEAN,243766.01
-118.32,33.95,44,2131,360.0,1040,330,5.0912,<1H OCEAN,230589.02
-122.21,37.44,35,1140,193.0,486,199,4.6908,NEAR OCEAN,335168.18
-118.19,34.1,39,2054,423.0,1205,403,4.239,<1H OCEAN,215865.0
-122.38,40.09,16,2077,388.0,1155,389,3.1361,INLAND,105520.0
-117.3,33.06,31,2128,520.0,1049,485,4.027,NEAR OCEAN,330376.21
-122.13,37.71,44,1421,298.0,609,270,3.5781,NEAR BAY,190807.0
-118.29,33.98,44,2261,555.0,1348,455,1.9125,<1H OCEAN,107360.0
-121.53,39.52,30,1030,161.0,448,159,2.4821,INLAND,70807.0
-120.47,34.65,16,2549,428.0,1486,432,4.2875,NEAR OCEAN,178050.0
-118.3,34.0,52,1718,354.0,1026,312,2.0,<1H OCEAN,114408.0
-118.22,33.8,33,1984,477.0,1764,440,3.875,NEAR OCEAN,175792.01
-118.27,33.97,39,2569,688.0,2601,630,2.0754,<1H OCEAN,112595.0
-118.34,34.06,52,1311,310.0,707,290,3.4812,<1H OCEAN,394599.09
-119.21,34.18,13,6103,1319.0,2986,1212,3.9718,NEAR OCEAN,263338.08
-117.83,33.81,24,3550,895.0,2828,834,2.8403,<1H OCEAN,179777.0
-118.85,34.18,11,5873,1455.0,3089,1365,3.5504,<1H OCEAN,235836.02
-118.37,36.19,10,443,111.0,48,21,3.125,INLAND,82306.0
-121.85,37.39,15,8748,1547.0,4784,1524,5.8322,<1H OCEAN,268406.0
-118.37,33.85,25,5622,998.0,2537,1009,5.785,<1H OCEAN,334745.03
-118.96,35.37,32,1025,259.0,874,236,1.9612,INLAND,58937.0
-120.64,35.65,9,3466,673.0,2356,619,2.9926,<1H OCEAN,165846.0
-118.41,34.19,42,779,145.0,450,148,3.9792,<1H OCEAN,208418.0
-122.53,37.95,22,7446,1979.0,2980,1888,3.5838,NEAR BAY,274751.01
-117.33,34.15,28,1473,333.0,1196,312,1.6993,INLAND,73863.0
-117.23,33.57,6,13724,2269.0,5860,1986,3.9617,<1H OCEAN,175886.0
-120.44,37.28,12,2855,598.0,1658,586,2.3929,INLAND,99174.0
-117.2,33.7,23,6323,1196.0,1984,1124,2.3276,<1H OCEAN,136067.0
-121.34,38.64,12,2772,578.0,1335,565,3.8068,INLAND,143221.0
-117.28,34.12,36,2991,822.0,2378,751,1.3571,INLAND,72802.0
-119.48,36.5,32,3451,625.0,1968,574,2.9554,INLAND,77821.0
-122.04,37.04,17,4977,994.0,1987,947,3.8854,NEAR OCEAN,263093.02
-118.45,34.03,39,1657,402.0,931,363,3.7813,<1H OCEAN,398523.32
-117.47,33.92,18,3869,773.0,2500,726,3.6583,INLAND,124625.0
-121.94,37.75,16,5121,735.0,2464,761,6.6204,<1H OCEAN,314265.01
-117.28,34.51,10,4676,884.0,2845,812,3.0181,INLAND,99761.0
-120.95,35.44,30,6346,1410.0,1769,887,2.6864,NEAR OCEAN,237187.0
-117.9,33.97,23,7353,1255.0,4014,1124,5.4155,<1H OCEAN,269852.0
-120.77,38.38,15,4221,816.0,1737,743,2.3125,INLAND,115764.0
-116.93,32.8,19,1867,538.0,1219,468,2.0685,<1H OCEAN,125712.0
-118.13,33.81,34,1903,343.0,928,349,5.395,<1H OCEAN,251978.0
-117.4,33.95,46,2189,423.0,866,389,3.1384,INLAND,123511.0
-122.07,37.96,34,1692,290.0,836,289,5.0172,NEAR BAY,211893.01
-123.71,39.88,42,1518,383.0,656,303,1.4952,NEAR OCEAN,99320.0
-122.72,38.58,4,7042,1100.0,2936,1043,5.0555,<1H OCEAN,225222.01
-117.77,33.72,9,2153,316.0,954,324,7.8139,<1H OCEAN,351553.03
-117.93,34.07,34,1409,305.0,819,273,3.3977,<1H OCEAN,192386.0
-118.41,34.07,52,1202,142.0,408,138,15.0001,<1H OCEAN,499831.99
-120.07,36.97,28,1563,403.0,1564,408,1.5662,INLAND,53903.0
-119.27,36.05,29,1016,174.0,481,140,2.2917,INLAND,65605.0
-120.82,37.05,15,1385,288.0,775,255,1.933,INLAND,87657.0
-121.43,38.54,42,3321,688.0,1346,658,2.4618,INLAND,106148.0
-120.44,34.96,30,1685,315.0,1290,368,3.4722,<1H OCEAN,155439.0
-120.35,37.95,13,2104,407.0,960,401,2.4,INLAND,113629.0
-118.17,33.95,23,1991,584.0,1380,535,1.9107,<1H OCEAN,154602.0
-121.57,39.5,31,2023,469.0,1073,436,1.5714,INLAND,57000.0
-117.82,33.88,18,1982,300.0,1027,324,7.0526,<1H OCEAN,285653.0
-121.9,37.44,4,1646,408.0,853,410,5.0821,<1H OCEAN,235956.01
-121.45,38.54,38,1865,384.0,1052,354,1.7891,INLAND,66520.0
-119.81,36.83,19,6789,1200.0,2325,1109,4.049,INLAND,117821.0
-118.36,33.8,34,2629,369.0,966,375,10.1241,NEAR OCEAN,498570.98
-117.68,33.59,8,2327,263.0,899,236,14.9009,<1H OCEAN,491593.45
-118.04,33.88,17,4807,838.0,3059,853,5.7619,<1H OCEAN,285234.0
-118.43,34.01,41,1527,279.0,746,285,6.4232,<1H OCEAN,445279.32
-122.71,38.5,15,5645,830.0,2324,769,6.6104,<1H OCEAN,324346.01
-121.83,36.6,30,2748,502.0,1491,535,4.3472,<1H OCEAN,226031.0
-120.82,35.31,16,3924,699.0,1325,638,2.5172,NEAR OCEAN,218472.01
-120.06,36.95,24,646,134.0,454,149,2.125,INLAND,76169.98
-122.14,37.68,31,3184,716.0,1561,628,2.7955,NEAR BAY,170769.0
-116.46,33.78,25,1137,414.0,604,240,1.3801,INLAND,80072.0
-121.09,38.19,23,762,140.0,358,141,2.4545,INLAND,120628.0
-121.32,38.57,15,3369,499.0,1733,470,5.31,INLAND,181762.0
-120.99,37.66,30,1718,395.0,914,400,1.933,INLAND,90288.0
-122.22,37.79,37,2343,574.0,1608,523,2.1494,NEAR BAY,126865.0
-122.47,37.78,52,2169,522.0,1220,505,3.1989,NEAR BAY,426353.07
-117.91,33.61,40,2790,531.0,952,424,4.8,<1H OCEAN,434850.45
-121.53,39.06,20,561,109.0,308,114,3.3021,INLAND,117552.0
-117.04,32.83,8,2205,348.0,777,341,6.0266,<1H OCEAN,284221.06
-118.13,34.11,52,2568,345.0,1102,345,9.1373,<1H OCEAN,489236.83
-122.32,38.06,4,7999,1611.0,3596,1396,5.0969,NEAR BAY,196721.0
-121.73,37.68,17,20354,3493.0,8768,3293,5.4496,INLAND,227287.0
-118.98,35.4,36,1864,331.0,1052,325,3.4205,INLAND,82515.0
-121.9,37.25,28,2714,502.0,1389,490,5.7385,<1H OCEAN,299056.02
-121.3,38.69,13,2135,429.0,779,432,3.6995,INLAND,127964.0
-115.64,32.75,19,377,69.0,198,55,1.625,INLAND,73477.0
-117.89,33.76,34,1050,210.0,723,201,4.8,<1H OCEAN,191537.0
-118.36,33.92,46,1231,231.0,793,256,4.1023,<1H OCEAN,210404.0
-117.06,32.58,11,2879,679.0,2098,673,3.5125,NEAR OCEAN,137053.0
-115.49,32.67,25,2322,573.0,2185,602,1.375,INLAND,69027.0
-117.31,34.09,34,1336,345.0,1009,311,1.608,INLAND,72227.0
-121.03,39.21,28,2843,535.0,1310,525,3.2337,INLAND,159041.0
-117.05,32.72,35,1777,369.0,1158,353,3.4107,NEAR OCEAN,130150.0
-117.95,33.92,18,2825,660.0,1590,643,3.6106,<1H OCEAN,185560.0
-119.01,35.31,19,7092,1517.0,4101,1436,2.1006,INLAND,75361.0
-119.17,34.27,18,8010,1539.0,3982,1483,4.0905,NEAR OCEAN,229598.01
-118.07,34.14,42,3200,685.0,1668,628,3.375,INLAND,236573.0
-122.23,38.1,46,4143,895.0,2240,847,2.4201,NEAR BAY,118753.0
-117.75,34.06,52,62,9.0,44,16,0.4999,INLAND,327681.35
-118.27,33.81,42,865,208.0,811,218,3.8621,<1H OCEAN,172426.0
-121.32,38.0,21,1795,482.0,1114,472,2.0091,INLAND,100804.0
-118.99,36.06,19,2153,458.0,1317,386,1.7564,INLAND,57944.0
-122.37,40.54,28,2213,390.0,1096,378,3.6923,INLAND,104627.0
-120.39,37.98,52,1056,274.0,584,255,2.1513,INLAND,102023.0
-118.33,34.11,48,1601,464.0,784,461,3.0642,<1H OCEAN,310525.05
-118.08,33.89,37,1152,259.0,981,225,3.2857,<1H OCEAN,158385.0
-117.25,33.36,6,3725,960.0,2833,915,2.3214,<1H OCEAN,153110.0
-119.15,36.29,18,1435,,657,254,2.4281,INLAND,77390.0
-117.63,33.94,36,447,95.0,2886,85,4.2578,INLAND,189713.1
-118.55,34.19,18,5862,,3161,1280,3.1106,<1H OCEAN,221922.02
-117.89,33.71,16,1591,225.0,926,239,6.2452,<1H OCEAN,263275.0
-117.69,33.66,5,4246,689.0,1933,722,6.9501,<1H OCEAN,312875.02
-118.35,33.88,25,1459,362.0,1150,354,3.35,<1H OCEAN,244909.0
-118.09,34.16,45,2199,358.0,942,353,5.0393,INLAND,347634.0
-121.05,39.11,7,2767,423.0,1143,382,3.6333,INLAND,170342.0
-118.21,34.1,40,1684,316.0,795,330,5.2723,<1H OCEAN,330874.03
-119.04,36.07,17,2623,659.0,1912,618,1.5893,INLAND,61389.0
-117.3,34.15,33,1607,282.0,608,260,4.3438,INLAND,139952.0
-117.75,34.06,44,477,135.0,502,117,2.0156,INLAND,99942.0
-114.61,33.62,16,1187,261.0,1115,242,2.1759,INLAND,63442.0
-117.61,34.13,21,8416,1386.0,4308,1341,4.4611,INLAND,177922.0
-118.11,34.05,23,3436,565.0,1729,529,5.9941,<1H OCEAN,291987.01
-118.95,35.26,24,1341,214.0,667,184,4.0,INLAND,98992.0
-118.35,33.9,25,3309,902.0,2299,837,3.0417,<1H OCEAN,218586.0
-122.89,38.93,20,1214,247.0,504,223,2.7188,<1H OCEAN,174737.0
-121.89,36.6,40,626,164.0,337,150,2.7917,<1H OCEAN,213596.0
-118.31,34.26,34,1797,363.0,948,363,4.1339,<1H OCEAN,237110.01
-122.01,37.25,31,1574,193.0,551,191,10.2311,<1H OCEAN,498941.98
-118.37,34.04,43,888,170.0,514,161,3.1827,<1H OCEAN,262041.02
-117.19,32.76,52,1294,175.0,434,180,5.7914,NEAR OCEAN,341725.1
-119.71,36.8,17,2056,366.0,1259,367,3.9338,INLAND,91498.0
-117.28,34.68,28,1932,421.0,1156,404,1.8958,INLAND,81124.0
-120.84,35.32,15,2419,538.0,1279,522,3.4762,NEAR OCEAN,216634.0
-118.13,34.02,43,396,91.0,261,73,2.9044,<1H OCEAN,184855.02
-117.02,33.6,7,1972,352.0,964,317,3.244,INLAND,143006.0
-116.97,32.76,33,3071,466.0,1348,513,6.1768,<1H OCEAN,339161.03
-117.71,33.61,26,3046,726.0,888,663,2.6848,<1H OCEAN,126592.0
-121.58,39.79,19,2636,523.0,1184,465,2.7863,INLAND,99116.0
-118.24,34.15,19,4852,1465.0,3171,1332,2.5924,<1H OCEAN,225043.0
-122.68,38.44,29,2796,588.0,1346,562,2.9107,<1H OCEAN,180313.0
-118.14,33.84,43,2107,439.0,876,429,3.2024,<1H OCEAN,217082.0
-117.88,34.1,32,3357,621.0,1696,604,4.2685,<1H OCEAN,187859.0
-117.67,33.44,25,2994,519.0,903,410,6.6852,<1H OCEAN,305360.04
-120.47,34.64,16,1912,406.0,1009,417,3.4063,NEAR OCEAN,189764.0
-122.22,37.47,23,7740,1943.0,4124,1743,3.3268,NEAR OCEAN,306908.16
-122.25,37.86,52,1709,318.0,719,295,5.0463,NEAR BAY,307217.05
-118.11,34.06,30,1547,436.0,1700,410,2.5488,<1H OCEAN,178167.0
-122.2,39.52,39,2551,482.0,1181,437,2.0625,INLAND,65970.0
-119.9,36.58,20,1935,363.0,1319,359,2.4814,INLAND,70355.0
-118.26,33.79,42,1162,264.0,1044,241,3.5488,<1H OCEAN,164563.0
-122.51,37.53,17,1574,262.0,672,241,7.2929,NEAR OCEAN,378228.2
-118.37,33.93,46,442,88.0,255,94,4.4474,<1H OCEAN,238595.0
-118.31,33.99,48,2235,433.0,1363,433,1.6559,<1H OCEAN,111177.0
-117.94,33.65,15,2016,443.0,1015,419,5.2732,<1H OCEAN,245442.0
-118.46,34.0,44,941,230.0,493,206,3.6458,<1H OCEAN,347581.05
-122.33,37.95,46,1543,339.0,777,322,4.0927,NEAR BAY,148662.0
-117.67,34.05,6,2833,628.0,1717,589,3.2062,INLAND,131458.0
-118.05,33.94,34,495,120.0,527,130,1.9453,<1H OCEAN,148412.0
-118.27,33.89,32,1969,397.0,1349,370,4.4659,<1H OCEAN,176780.0
-117.16,33.57,2,20391,3245.0,7132,2716,3.9443,<1H OCEAN,200319.02
-118.46,34.03,27,1965,631.0,1042,596,2.75,<1H OCEAN,338338.04
-122.44,37.77,52,5604,1268.0,2023,1196,4.4085,NEAR BAY,445126.44
-122.03,37.6,24,2077,383.0,1488,389,4.5721,NEAR BAY,207118.0
-117.96,34.71,32,3511,646.0,1733,510,3.46,INLAND,98565.0
-117.83,34.01,16,9446,1650.0,4911,1534,5.0111,<1H OCEAN,245840.0
-118.62,34.2,29,2421,402.0,1120,388,5.0309,<1H OCEAN,242587.01
-121.45,38.62,37,1534,315.0,1147,322,2.5643,INLAND,88022.0
-122.48,37.71,39,3615,632.0,1571,615,5.1149,NEAR OCEAN,334469.04
-123.22,39.15,45,1348,265.0,639,270,3.3667,<1H OCEAN,125440.0
-122.11,37.39,36,1660,261.0,655,249,6.3967,NEAR BAY,396146.09
-117.71,33.47,17,2681,454.0,830,410,5.5507,<1H OCEAN,286265.08
-118.07,33.87,18,3405,556.0,1945,509,5.7652,<1H OCEAN,289234.0
-122.11,37.66,29,2544,643.0,2332,603,3.2091,NEAR BAY,189623.0
-117.93,34.04,30,1336,239.0,905,253,4.8854,<1H OCEAN,182336.0
-122.03,37.39,34,2600,650.0,1994,650,4.0223,<1H OCEAN,243119.0
-118.35,33.9,31,1547,,956,287,3.4698,<1H OCEAN,231763.0
-117.13,32.72,9,2436,720.0,1780,653,1.8299,NEAR OCEAN,130125.0
-121.66,36.82,17,3921,654.0,1895,641,5.0092,<1H OCEAN,257729.0
-118.13,34.05,35,3229,616.0,1879,595,3.9531,<1H OCEAN,251248.0
-118.28,34.05,41,1788,774.0,2931,702,1.4413,<1H OCEAN,188695.0
-118.17,34.1,25,4444,647.0,1922,652,8.058,<1H OCEAN,456537.48
-121.33,37.97,36,1953,492.0,999,371,2.0043,INLAND,80481.0
-117.23,32.74,16,1953,404.0,798,385,4.8167,NEAR OCEAN,243343.01
-121.29,38.6,29,1276,225.0,600,223,4.0938,INLAND,150838.0
-117.95,34.04,36,1044,200.0,982,205,4.7679,<1H OCEAN,168860.0
-121.83,36.61,26,3723,789.0,2563,747,3.4531,<1H OCEAN,209003.02
-119.21,34.26,26,2406,411.0,1313,391,4.9079,NEAR OCEAN,239468.01
-118.29,33.91,28,1501,446.0,1028,418,2.3043,<1H OCEAN,140624.0
-118.74,34.26,27,3467,545.0,1798,493,4.8717,<1H OCEAN,221287.0
-118.2,33.96,44,2144,477.0,1760,452,2.3221,<1H OCEAN,153838.0
-117.93,33.65,29,1253,375.0,1198,362,3.5179,<1H OCEAN,262334.03
-124.09,40.88,31,1982,495.0,1052,467,1.5326,NEAR OCEAN,72933.0
-121.39,38.56,19,8507,1470.0,3517,1453,4.3644,INLAND,154788.0
-117.33,34.13,30,2335,363.0,1214,311,2.2449,INLAND,83589.0
-118.75,34.33,27,534,85.0,243,77,8.2787,<1H OCEAN,449607.59
-118.1,33.93,36,1124,217.0,707,234,4.375,<1H OCEAN,174636.0
-118.49,34.25,33,2088,383.0,960,362,4.3333,<1H OCEAN,247972.01
-117.69,34.06,29,873,226.0,649,198,2.7986,INLAND,133822.0
-117.06,32.57,18,1384,311.0,1429,287,1.3362,NEAR OCEAN,110489.0
-118.46,34.29,24,3668,890.0,3151,810,3.0526,<1H OCEAN,182868.0
-121.74,38.55,33,6861,1820.0,3717,1767,1.7311,INLAND,106404.0
-116.89,33.73,15,2094,316.0,937,277,5.3623,INLAND,164395.0
-121.89,37.25,26,1741,323.0,1007,339,4.7069,<1H OCEAN,243133.0
-122.15,37.72,31,1616,372.0,739,379,2.9097,NEAR BAY,168364.0
-119.29,34.26,32,3295,764.0,1344,600,3.6007,NEAR OCEAN,258795.0
-118.19,33.89,38,4018,986.0,3702,927,2.9293,<1H OCEAN,152494.0
-117.66,34.06,24,4043,952.0,2174,859,2.2244,INLAND,132398.0
-118.06,33.8,20,1379,333.0,937,304,3.6217,<1H OCEAN,207185.0
-118.0,33.95,35,1431,210.0,505,213,6.8109,<1H OCEAN,368780.21
-117.95,33.84,18,3418,815.0,1961,773,3.65,<1H OCEAN,186580.0
-117.88,33.9,21,3180,434.0,1413,391,6.5945,<1H OCEAN,313181.06
-118.12,34.11,48,2124,319.0,785,319,5.2131,<1H OCEAN,340274.06
-120.99,37.69,25,2773,384.0,1060,381,6.4788,INLAND,266301.01
-118.37,33.91,41,1869,427.0,1334,435,3.9355,<1H OCEAN,254383.0
-121.74,36.47,28,1973,343.0,970,349,4.25,<1H OCEAN,233749.01
-122.19,37.48,35,7067,1646.0,5380,1597,4.1776,NEAR BAY,367907.34
-116.95,32.78,20,3425,448.0,1489,443,6.2552,<1H OCEAN,289189.0
-117.8,33.76,27,2655,345.0,1017,335,6.9014,<1H OCEAN,347873.03
-115.54,32.79,23,1712,403.0,1370,377,1.275,INLAND,58557.0
-118.43,34.17,35,2922,507.0,1130,485,5.451,<1H OCEAN,375649.17
-120.69,35.49,16,2666,450.0,1203,429,4.1375,<1H OCEAN,216069.0
-118.32,33.94,37,2740,504.0,1468,479,4.5368,<1H OCEAN,186021.0
-121.18,37.96,35,411,74.0,193,59,2.5625,INLAND,130716.0
-121.33,37.96,42,1619,340.0,906,339,2.5488,INLAND,80702.0
-119.95,36.96,18,1996,379.0,1327,356,2.6087,INLAND,73765.0
-118.47,34.0,42,1271,301.0,574,312,3.1304,<1H OCEAN,375535.1
-124.09,40.88,26,2683,555.0,1353,526,2.4321,NEAR OCEAN,90835.0
-117.19,33.64,12,1481,265.0,757,243,3.235,<1H OCEAN,179081.03
-120.64,40.41,50,1741,424.0,987,383,1.5066,INLAND,65178.0
-119.72,34.42,52,1759,387.0,980,402,4.0125,NEAR OCEAN,288303.0
-115.49,32.69,17,1960,389.0,1691,356,1.899,INLAND,74502.0
-118.1,34.11,49,3367,523.0,1317,495,6.706,<1H OCEAN,436663.49
-122.82,38.39,32,1437,257.0,752,245,4.7422,<1H OCEAN,260558.0
-118.34,34.12,41,3257,679.0,1237,638,4.2415,<1H OCEAN,473413.66
-118.29,34.0,44,1753,387.0,1165,380,2.1354,<1H OCEAN,115413.0
-121.44,38.73,25,1287,224.0,727,236,4.7396,INLAND,165700.0
-117.22,32.83,31,3958,727.0,1924,728,5.4605,NEAR OCEAN,274691.07
-122.63,38.26,7,7808,1390.0,3551,1392,4.6069,<1H OCEAN,223849.0
-118.17,34.18,38,1280,231.0,828,237,4.375,<1H OCEAN,221277.01
-124.17,40.79,43,2285,479.0,1169,482,1.9688,NEAR OCEAN,82874.0
-118.37,34.15,29,2630,617.0,1071,573,3.3669,<1H OCEAN,365692.1
-118.93,34.82,24,806,168.0,323,136,3.5,INLAND,115087.0
-122.24,37.47,35,2283,491.0,1148,436,4.5556,NEAR OCEAN,349509.01
-122.26,37.85,50,1120,283.0,697,264,2.125,NEAR BAY,144768.0
-118.04,33.99,36,3531,754.0,1613,697,3.2359,<1H OCEAN,193205.0
-117.92,33.92,19,2181,400.0,1272,337,5.1952,<1H OCEAN,242566.0
-116.51,33.89,21,1284,306.0,537,233,1.95,INLAND,88936.99
-117.94,33.84,25,4016,831.0,2166,774,3.1884,<1H OCEAN,194548.0
-122.07,38.24,15,7937,1635.0,4390,1567,3.5464,INLAND,160719.0
-118.25,33.93,42,657,147.0,526,132,2.5,<1H OCEAN,105000.0
-118.86,34.22,26,1932,280.0,886,289,5.0855,<1H OCEAN,253682.08
-121.47,38.72,26,1708,299.0,911,290,4.0227,INLAND,108709.0
-118.2,33.92,36,414,104.0,477,130,3.6719,<1H OCEAN,133038.0
-122.13,37.7,21,4124,1054.0,2162,998,2.6321,NEAR BAY,174417.0
-122.01,37.27,28,3825,473.0,1415,480,10.675,<1H OCEAN,500001.0
-124.08,40.94,18,1550,345.0,941,335,2.3147,NEAR OCEAN,93536.0
-118.31,34.26,36,1882,453.0,1005,409,3.8,<1H OCEAN,230935.0
-117.29,33.2,16,2150,461.0,1428,407,2.4754,NEAR OCEAN,151698.0
-117.72,33.54,13,4866,812.0,1909,733,4.9821,<1H OCEAN,261475.05
